,Problem
0,Two Sum
1,Longest Common Prefix
2,3Sum
3,Letter Combinations of a Phone Number
4,Generate Parentheses
5,Next Permutation
6,Permutations
7,Group Anagrams
8,Spiral Matrix
9,Merge Intervals
10,Climbing Stairs
11,Word Search
12,Employees Earning More Than Their Managers
13,Number of Islands
14,Word Search II
15,Shortest Palindrome
16,Kth Smallest Element in a BST
17,Sliding Window Maximum
18,First Bad Version
19,Find Median from Data Stream
20,Number of Islands II
21,Bomb Enemy
22,Design Hit Counter
23,Insert Delete GetRandom O(1)
24,Shuffle an Array
25,Is Subsequence
26,Evaluate Division
27,Longest Repeating Character Replacement
28,Find the Closest Palindrome
29,Top K Frequent Words
30,My Calendar I
31,Serialize and Deserialize N-ary Tree
32,Construct Quad Tree
33,Binary Search
34,Bus Routes
35,Exam Room
36,Rotting Oranges
37,Break a Palindrome
38,Leftmost Column with at Least a One
39,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit
40,String Compression II
41,Restore the Array From Adjacent Pairs
42,Minimum Time to Complete Trips
